ID,Question,Option 1,Option 2,Option 3,Option 4,Answer Index,Difficulty,Hint
313,ما هو المعدن السائل في درجة حرارة الغرفة؟,الحديد,النحاس,الزئبق,القصدير,2,3,يستخدم في موازين الحرارة.
314,كم عدد أسنان الإنسان البالغ؟,28,30,32,34,2,3,تشمل القواطع والأنياب والأضراس.
4,كم عدد سور القرآن الكريم؟,110,114,120,100,1,4,تبدأ بالفاتحة وتنتهي بالناس.
402,ما هو أسرع حيوان بري في العالم؟,الأسد,النمر,الفهد,الغزال,2,4,يصل لسرعة 120 كم/ساعة.
403,في أي قارة تقع الأهرامات؟,آسيا,أفريقيا,أوروبا,أمريكا,1,4,قارة السمراء.
404,ما هو الغاز الذي تطلقه النباتات في النهار؟,النيتروجين,الأكسجين,الهيدروجين,ثاني أكسيد الكربون,1,4,ضروري لتنفس الإنسان.
405,ما هو اسم صغير الأسد؟,جرو,شبل,حمل,مهر,1,4,كلمة تبدأ بحرف الشين.
406,ما هو أثقل حيوان في العالم؟,الفيل,الحوت الأزرق,وحيد القرن,الزرافة,1,4,يعيش في المحيطات.
407,ما هي عاصمة الكويت؟,الجهراء,الكويت,حولي,الأحمدي,1,4,نفس اسم الدولة.
408,ما هو الفيتامين الذي نحصل عليه من الشمس؟,فيتامين أ,فيتامين ب,فيتامين ج,فيتامين د,3,4,ضروري للعظام.
409,من هو النبي الذي ابتلعه الحوت؟,يوسف عليه السلام,يونس عليه السلام,أيوب عليه السلام,داود عليه السلام,1,4,لقب بـ 'ذا النون'.
410,ما هي أطول سورة في القرآن الكريم؟,آل عمران,البقرة,النساء,المائدة,1,4,تقع في بداية المصحف.
412,ما هو الكوكب الأحمر؟,الزهرة,المريخ,المشتري,زحل,1,4,لونه يشبه الصدأ.
413,من هو مخترع المصباح الكهربائي؟,ألكسندر بيل,توماس إديسون,نيكولا تسلا,جيمس وات,1,4,فشل ألف مرة قبل النجاح.
414,ما هي عاصمة فرنسا؟,لندن,روما,باريس,مدريد,2,4,مدينة الأنوار.
5,من هو النبي الذي بنى الكعبة مع ابنه إسماعيل؟,نوح عليه السلام,موسى عليه السلام,إبراهيم عليه السلام,عيسى عليه السلام,2,5,يلقب بخليل الله.
502,ما هو العلم الذي يدرس النجوم والكواكب؟,الفيزياء,الكيمياء,الفلك,الأحياء,2,5,يهتم بالفضاء الخارجي.
503,ما هي لغة البرازيل الرسمية؟,الإسبانية,الإنجليزية,البرتغالية,الفرنسية,2,5,تأثرت بالاستعمار القديم.
504,ما هو أطول جدار في العالم؟,جدار برلين,سور الصين العظيم,جدار القدس,جدار المكسيك,1,5,يقع في قارة آسيا.
505,ما هو العضو الذي يستخدمه الفيل للتنفس والشرب؟,الأذن,الخرطوم,الناب,الذيل,1,5,أنف الفيل الطويل.
506,ما هي عاصمة قطر؟,الوكرة,الدوحة,الخور,الريان,1,5,استضافت نهائي كأس العالم 2022.
507,ما هو أصلب مادة طبيعية على الأرض؟,الحديد,الذهب,الألماس,الجرانيت,2,5,يتكون من الكربون.
508,ما هو الطائر الذي لا يطير وله جناحان؟,النسر,البطريق,الحمام,العصفور,1,5,يعيش في المناطق القطبية.
509,من هو النبي الذي بنى السفينة؟,هود عليه السلام,صالح عليه السلام,نوح عليه السلام,لوط عليه السلام,2,5,نجا بها من الطوفان.
510,ما هي السورة التي تسمى 'قلب القرآن'؟,يس,الرحمن,الملك,الواقعة,0,5,سورة تبدأ بحرفين.
511,كم عدد أجزاء القرآن الكريم؟,20,30,40,60,1,5,كل جزء يحتوي على حزبين.
6,ما هي أطول سورة في القرآن الكريم؟,آل عمران,النساء,البقرة,المائدة,2,6,تقع في الجزء الأول والثاني والثالث.
602,من هو العالم العربي الملقب بـ 'أبو الكيمياء'؟,ابن سينا,جابر بن حيان,الرازي,الخوارزمي,1,6,وضع أسس الكيمياء الحديثة.
603,ما هو المحيط الأكبر في العالم؟,الأطلسي,الهندي,الهادي,المتجمد,2,6,يغطي مساحة شاسعة من الأرض.
604,ما هي عاصمة العراق؟,البصرة,الموصل,بغداد,أربيل,2,6,بناها الخليفة المنصور.
605,ما هو الطائر الذي يضع أكبر بيضة في العالم؟,النسر,النعامة,البجعة,البومة,1,6,طائر لا يطير ولكنه سريع الجري.
606,ما هي عاصمة البحرين؟,المحرق,المنامة,الرفاع,سترة,1,6,تقع في جزيرة البحرين.
607,ما هو الغاز الذي يستخدم في إطفاء الحرائق؟,الأكسجين,الهيدروجين,ثاني أكسيد الكربون,النيتروجين,2,6,يخنق اللهب.
608,ما هو الحيوان الذي له أطول رقبة؟,الفيل,الزرافة,النعامة,الجمل,1,6,تصل للأشجار العالية.
609,من هو النبي الذي ألقي في النار ولم يحترق؟,إسماعيل عليه السلام,إسحاق عليه السلام,إبراهيم عليه السلام,يعقوب عليه السلام,2,6,قال الله للنار: كوني برداً وسلاماً.
610,ما هو اسم خازن الجنة؟,مالك,رضوان,إسرافيل,ميكائيل,1,6,اسمه يوحي بالرضا.
611,ما هي السورة التي تنتهي جميع آياتها بحرف 'السين'؟,الناس,الإخلاص,الفلق,الفاتحة,0,6,آخر سورة في المصحف.
7,في أي مدينة ولد النبي محمد صلى الله عليه وسلم؟,المدينة المنورة,مكة المكرمة,الطائف,جدة,1,7,فيها الكعبة المشرفة.
702,ما هو الغاز الذي نتنفسه لكي نعيش؟,النيتروجين,الأكسجين,ثاني أكسيد الكربون,الهيدروجين,1,7,يمثل 21% من الهواء.
703,من هو مكتشف الجاذبية الأرضية؟,أينشتاين,إسحاق نيوتن,جاليليو,كبلر,1,7,سقطت عليه تفاحة.
704,ما هي عاصمة تونس؟,صفاقس,تونس,سوسة,القيروان,1,7,اسمها نفس اسم الدولة.
705,ما هو الحيوان الذي يغير لونه ليختبئ؟,الأفعى,الحرباء,التمساح,السلحفاة,1,7,تستخدم التمويه ببراعة.
706,ما هي عاصمة عمان؟,صلالة,مسقط,نزوى,صحار,1,7,ميناء تاريخي هام.
707,ما هو الكوكب الذي يحيط به حلقات واضحة؟,المشتري,زحل,أورانوس,نبتون,1,7,كوكب جميل المنظر.
708,ما هو اسم صوت الأسد؟,صهيل,زئير,مواء,عواء,1,7,صوت مرعب.
709,من هو النبي الذي كان يصنع الدروع من الحديد؟,سليمان عليه السلام,داود عليه السلام,زكريا عليه السلام,يحيى عليه السلام,1,7,ألان الله له الحديد.
710,ما هو اسم ناقة النبي ﷺ؟,القصواء,الوجناء,العضباء,الصهباء,0,7,بركت في مكان المسجد النبوي.
711,ما هي السورة التي تسمى 'عروس القرآن'؟,يس,الرحمن,الواقعة,الملك,1,7,فيها تكرار لآية 'فبأي آلاء ربكما تكذبان'.
8,ما هو اسم الغار الذي كان يتعبد فيه النبي قبل البعثة؟,غار ثور,غار حراء,غار أحد,غار الخندق,1,8,فيه نزل الوحي لأول مرة.
802,ما هو المعدن السائل الوحيد في درجة الحرارة العادية؟,الحديد,النحاس,الزئبق,الذهب,2,8,يستخدم في موازين الحرارة.
803,ما هي أصغر دولة في العالم؟,موناكو,الفاتيكان,سان مارينو,المالديف,1,8,تقع داخل مدينة روما.
804,من هو مخترع الراديو؟,ماركوني,إديسون,بيل,تسلا,0,8,عالم إيطالي.
805,ما هي عاصمة المغرب؟,الدار البيضاء,مراكش,الرباط,فاس,2,8,مدينة تقع على المحيط الأطلسي.
806,من هو مكتشف أمريكا؟,فاسكو دي جاما,كريستوفر كولومبوس,ماجلان,ماركو بولو,1,8,رحالة إيطالي أبحر للأندلس.
807,ما هو أكبر حيوان بري في العالم؟,الزرافة,الفيل الأفريقي,فرس النهر,وحيد القرن,1,8,له أذنان كبيرتان.
808,ما هي عاصمة فلسطين؟,يافا,حيفا,القدس,غزة,2,8,زهرة المدائن.
809,من هو النبي الذي قبضت روحه في السماء الرابعة؟,إدريس عليه السلام,إلياس عليه السلام,اليسع عليه السلام,ذو الكفل عليه السلام,0,8,رفعناه مكاناً علياً.
810,ما هي السورة التي لا تبدأ بالبسملة؟,النمل,التوبة,الأنفال,هود,1,8,تسمى أيضاً سورة براءة.
811,كم عدد السجدات في القرآن الكريم؟,12,14,15,11,2,8,مواضع السجود عند التلاوة.
9,كم عدد أركان الإيمان؟,5,6,7,4,1,9,تبدأ بالإيمان بالله وتنتهي بالإيمان بالقدر.
902,من هو مؤلف كتاب 'القانون في الطب'؟,الرازي,ابن سينا,ابن النفيس,البيروني,1,9,يلقب بالشيخ الرئيس.
903,ما هو أطول نهر في العالم؟,الأمازون,النيل,الميسيسيبي,الدانوب,1,9,يمر في عشر دول أفريقية.
904,ما هي عاصمة السودان؟,أم درمان,الخرطوم,بورتسودان,كسلا,1,9,تقع عند ملتقى النيلين الأبيض والأزرق.
905,ما هو المعدن الذي يتميز بلونه الأصفر اللامع؟,النحاس,الذهب,الفضة,البرونز,1,9,يستخدم في صناعة الحلي.
906,ما هي عاصمة الصومال؟,هرجيسا,بوساسو,مقاديشو,كيسمايو,2,9,تقع على ساحل المحيط الهندي.
907,ما هو أطول نهر في أوروبا؟,الدانوب,الفولجا,الراين,السين,1,9,يصب في بحر قزوين.
908,من هو مكتشف الجاذبية؟,أينشتاين,نيوتن,جاليليو,تسلا,1,9,سقطت عليه تفاحة.
909,من هو الصحابي الذي لقب بـ 'أمين هذه الأمة'؟,أبو عبيدة عامر بن الجراح,خالد بن الوليد,سعد بن أبي وقاص,عثمان بن عفان,0,9,أحد العشرة المبشرين بالجنة.
910,ما هي السورة التي تسمى 'سورة بني إسرائيل'؟,الكهف,الإسراء,مريم,طه,1,9,تبدأ بتمجيد الله على رحلة الإسراء.
911,كم عدد أبواب الجنة؟,7,8,9,10,1,9,منها باب الريان للصائمين.
10,ما هي القبلة الأولى للمسلمين؟,المسجد الحرام,المسجد الأقصى,المسجد النبوي,مسجد قباء,1,10,تقع في مدينة القدس.
1002,ما هي عاصمة اليابان؟,سيول,بكين,طوكيو,بانكوك,2,10,كانت تسمى قديماً إيدو.
1003,ما هو العضو المسؤول عن ضخ الدم في جسم الإنسان؟,الرئة,الكبد,القلب,الكلى,2,10,ينبض باستمرار.
1004,ما هي عاصمة ليبيا؟,بنغازي,طرابلس,مصراتة,سبها,1,10,تلقب بـ 'عروس البحر المتوسط'.
1005,ما هو الغاز الذي يسبب ظاهرة الاحتباس الحراري؟,الأكسجين,النيتروجين,ثاني أكسيد الكربون,الهيليوم,2,10,ينتج عن حرق الوقود.
1006,ما هي عاصمة لبنان؟,طرابلس,صيدا,بيروت,صور,2,10,تلقب بـ 'ست الدنيا'.
1007,ما هو أكبر حيوان في العالم؟,الفيل,الحوت الأزرق,القرش الأبيض,الزرافة,1,10,يعيش في المحيطات.
1008,من هو مخترع المصباح؟,بيل,إديسون,فاراداي,تسلا,1,10,أجرى آلاف التجارب.
1009,من هو الملك الموكل بالنفخ في الصور؟,جبريل,ميكائيل,إسرافيل,عزرائيل,2,10,ينفخ فيه يوم القيامة.
1010,ما هي السورة التي تسمى 'الفاضحة'؟,المنافقون,التوبة,الأحزاب,الحشر,1,10,فضحت المنافقين وأفعالهم.
1011,كم عدد أولي العزم من الرسل؟,3,4,5,6,2,10,ذكروا في سورتي الأحزاب والشورى.
11,من هو أول من أسلم من الرجال؟,عمر بن الخطاب,علي بن أبي طالب,أبو بكر الصديق,عثمان بن عفان,2,11,هو رفيق النبي في الهجرة.
1102,ما هو الجهاز المستخدم لقياس الزلازل؟,البارومتر,الترمومتر,السيزموجراف,الميكرومتر,2,11,يسجل الاهتزازات الأرضية.
1103,ما هي أكبر قارة في العالم من حيث المساحة؟,أفريقيا,أمريكا الشمالية,آسيا,أوروبا,2,11,تضم الصين والهند.
1104,ما هي عاصمة سوريا؟,حلب,حمص,دمشق,اللاذقية,2,11,أقدم عاصمة مأهولة في التاريخ.
1105,ما هو العلم الذي يدرس المادة وتركيبها وتفاعلاتها؟,الفيزياء,الكيمياء,الأحياء,الجيولوجيا,1,11,يتعامل مع العناصر والمركبات.
1106,ما هي عاصمة الأردن؟,إربد,الزرقاء,عمان,العقبة,2,11,مدينة الجبال السبعة.
1107,ما هو أسرع حيوان في العالم؟,الفهد,الصقر الجوال,السمكة الشراعية,النعامة,1,11,طائر جارح سريع جداً.
1108,من هو مخترع الهاتف؟,إديسون,بيل,ماركوني,مورس,1,11,ألكسندر جراهام...
1109,من هو الصحابي الذي لقب بـ 'ذي النورين'? ,أبو بكر الصديق,عمر بن الخطاب,عثمان بن عفان,علي بن أبي طالب,2,11,تزوج ابنتي النبي ﷺ.
1110,ما هي السورة التي تسمى 'سورة الحواميم'؟,غافر,فصلت,الشورى,كل ما سبق,3,11,السور التي تبدأ بـ 'حم'.
1111,كم عدد الملائكة الذين يحملون العرش؟,4,6,8,10,2,11,ذكر عددهم في سورة الحاقة.
12,ما هو اسم ناقة النبي صلى الله عليه وسلم؟,القصواء,العضباء,الوجناء,الصهباء,0,12,بركت في مكان بناء المسجد النبوي.
1202,من هو مخترع الهاتف؟,توماس إديسون,ألكسندر جراهام بيل,نيكولا تسلا,ماركوني,1,12,أول كلمة قالها: 'واتسون، تعال هنا'.
1203,ما هي المادة التي تصنع منها الألماس؟,الحديد,الكربون,السيليكون,النحاس,1,12,نفس مادة الفحم ولكن تحت ضغط عالٍ.
1204,ما هي عاصمة الجزائر؟,وهران,قسنطينة,الجزائر,عنابة,2,12,تلقب بـ 'الجزائر البيضاء'.
1205,ما هو الكوكب الأقرب إلى الشمس؟,الزهرة,المريخ,عطارد,الأرض,2,12,كوكب صغير وحار جداً.
1206,ما هي عاصمة العراق؟,الموصل,البصرة,بغداد,أربيل,2,12,بناها الخليفة المنصور.
1207,ما هو أطول سور في العالم؟,سور برلين,سور الصين العظيم,سور القدس,سور عكا,1,12,يقع في الصين.
1208,من هو مكتشف الجراثيم؟,باستور,كوخ,فلمنج,ليستر,0,12,عالم فرنسي.
1209,من هو الصحابي الذي اهتز لموته عرش الرحمن؟,حمزة بن عبد المطلب,سعد بن معاذ,جعفر بن أبي طالب,مصعب بن عمير,1,12,سيد الأوس.
1210,ما هي السورة التي تسمى 'سورة القتال'؟,الأنفال,محمد,الفتح,الحجرات,1,12,سميت باسم النبي ﷺ.
1211,كم عدد الغزوات التي قادها النبي ﷺ بنفسه؟,25,27,29,31,1,12,منها بدر وأحد والخندق.
13,كم عدد سنوات نزول القرآن الكريم؟,10 سنوات,20 سنة,23 سنة,25 سنة,2,13,نزل في مكة والمدينة.
1302,ما هي عاصمة الدولة الأموية؟,بغداد,القاهرة,دمشق,المدينة,2,13,تقع في سوريا.
1303,ما هو العنصر الكيميائي الذي رمزه Au؟,الفضة,النحاس,الذهب,الرصاص,2,13,معدن ثمين أصفر اللون.
1304,من هو مكتشف الدورة الدموية الصغرى؟,ابن سينا,ابن النفيس,الرازي,ابن الهيثم,1,13,عالم طبيب عربي.
1305,ما هي عاصمة اليمن؟,تعز,عدن,صنعاء,الحديدة,2,13,مدينة تاريخية قديمة.
1306,ما هي عاصمة ليبيا؟,بنغازي,طرابلس,مصراتة,سبها,1,13,تلقب بـ 'عروس البحر المتوسط'.
1307,ما هو أصلب مادة في جسم الإنسان؟,العظم,مينا الأسنان,الغضروف,الظفر,1,13,تغطي الأسنان.
1308,من هو مخترع الراديو؟,إديسون,ماركوني,تسلا,بيل,1,13,عالم إيطالي.
1309,من هو الصحابي الذي لقب بـ 'حبر الأمة'؟,عبد الله بن مسعود,عبد الله بن عباس,عبد الله بن عمر,عبد الله بن الزبير,1,13,ابن عم النبي ﷺ ودعا له بالحكمة.
1310,ما هي السورة التي تسمى 'سورة التوديع'؟,النصر,الفتح,الضحى,الكوثر,0,13,نزلت قبل وفاة النبي ﷺ بفترة وجيزة.
1311,كم كان عمر النبي ﷺ عندما نزل عليه الوحي أول مرة؟,35,40,45,50,1,13,سن النضج والكمال.
1312,ما هي أكبر جزيرة في العالم؟,مدغشقر,جرينلاند,أستراليا,بورنيو,1,13,تقع في شمال المحيط الأطلسي.
1313,من هو مؤلف كتاب 'القانون في الطب'؟,الرازي,ابن سينا,ابن النفيس,ابن الهيثم,1,13,لقب بالشيخ الرئيس.
1314,ما هو أسرع طائر في العالم؟,النعامة,الصقر الجوال,النسر الذهبي,طائر الطنان,1,13,يصل لسرعة 320 كم/ساعة عند الانقضاض.
14,من هو الصحابي الملقب بـ 'سيف الله المسلول'؟,خالد بن الوليد,حمزة بن عبد المطلب,علي بن أبي طالب,سعد بن أبي وقاص,0,14,لم يهزم في أي معركة خاضها.
1402,ما هي عاصمة أستراليا؟,سيدني,ملبورن,كانبيرا,بيرث,2,14,مدينة مخططة بنيت لتكون العاصمة.
1403,من هو صاحب لوحة 'الموناليزا'؟,بيكاسو,فان جوخ,ليوناردو دا فينشي,مايكل أنجلو,2,14,فنان وعالم إيطالي عبقري.
1404,ما هو العلم الذي يدرس الأرض وطبقاتها؟,الفلك,الجيولوجيا,الأحياء,الفيزياء,1,14,يسمى علم الأرض.
1405,ما هي عاصمة الصومال؟,هرجيسا,بوساسو,مقاديشو,كيسمايو,2,14,تقع على ساحل المحيط الهندي.
1406,ما هي عاصمة السودان؟,أم درمان,الخرطوم,بورتسودان,كسلا,1,14,ملتقى النيلين.
1407,ما هو الكوكب الذي يسمى الكوكب الأزرق؟,المريخ,الأرض,نبتون,أورانوس,1,14,كوكبنا.
1408,من هو مكتشف الدورة الدموية الكبرى؟,ابن النفيس,ويليام هارفي,ابن سينا,باستور,1,14,طبيب إنجليزي.
1409,من هو الصحابي الذي قتل جالوت؟,طالوت,داود عليه السلام,سليمان عليه السلام,موسى عليه السلام,1,14,كان شاباً صغيراً في جيش طالوت.
1410,ما هي السورة التي تسمى 'سورة النعم'؟,النحل,النمل,العنكبوت,الروم,0,14,ذكرت فيها نعم الله الكثيرة.
1411,كم عدد السنين التي نامها أهل الكهف؟,100,200,300,309,3,14,ذكرت في سورة الكهف بالحساب الشمسي والقمري.
1412,ما هو العنصر الكيميائي الأكثر وفرة في الكون؟,الأكسجين,الهيدروجين,الهيليوم,النيتروجين,1,14,يمثل 75% من كتلة الكون.
1413,من هو أول من رسم خريطة للعالم؟,الإدريسي,ابن بطوطة,كولومبوس,ماجلان,0,14,عالم جغرافي عربي مسلم.
1414,ما هي الدولة التي تمتابة أكبر عدد من الجزر؟,إندونيسيا,الفلبين,السويد,اليونان,2,14,دولة أوروبية لديها أكثر من 200 ألف جزيرة.
15,ما هي السورة التي تسمى 'عروس القرآن'؟,يس,الرحمن,الواقعة,الملك,1,15,تكرر فيها قوله تعالى 'فبأي آلاء ربكما تكذبان'.
1502,ما هو أعمق خندق مائي في العالم؟,خندق بورتوريكو,خندق ماريانا,خندق جاوة,خندق تونغا,1,15,يقع في المحيط الهادي.
1503,من هو أول إنسان صعد إلى الفضاء؟,نيل أرمسترونج,يوري جاجارين,باز ألدرين,جون جلين,1,15,رائد فضاء سوفيتي.
1504,ما هي عاصمة موريتانيا؟,نواذيبو,نواكشوط,روصو,أطار,1,15,تقع على ساحل المحيط الأطلسي.
1505,ما هو الغاز الذي يمثل النسبة الأكبر في الغلاف الجوي؟,الأكسجين,النيتروجين,الهيدروجين,الأرجون,1,15,يمثل حوالي 78%.
1506,ما هي عاصمة موريتانيا؟,نواذيبو,نواكشوط,روصو,أطار,1,15,تقع على الأطلسي.
1507,ما هو أطول نهر في العالم؟,الأمازون,النيل,الميسيسيبي,الدانوب,1,15,في أفريقيا.
1508,من هو مخترع الطائرة؟,الأخوان رايت,ليوناردو دا فينشي,فورد,إديسون,0,15,أول رحلة طيران ناجحة.
1509,من هو الصحابي الذي لقب بـ 'غسيل الملائكة'؟,حنظلة بن أبي عامر,حمزة بن عبد المطلب,مصعب بن عمير,جعفر بن أبي طالب,0,15,استشهد في غزوة أحد.
1510,ما هي السورة التي تسمى 'سورة المصابيح'؟,فصلت,الشورى,الزخرف,الدخان,0,15,تسمى أيضاً سورة السجدة.
1511,كم عدد الأنبياء الذين ذكروا في القرآن الكريم؟,20,25,30,35,1,15,منهم آدم ونوح وإبراهيم ومحمد.
1512,ما هو أبعد كوكب عن الشمس؟,زحل,أورانوس,نبتون,بلوتو,2,15,كوكب غازي أزرق بارد جداً.
1513,من هو مكتشف البنسلين؟,لويس باستور,ألكسندر فلمنج,روبرت كوخ,جوزيف ليستر,1,15,أول مضاد حيوي في التاريخ.
1514,ما هي العملة الرسمية لليابان؟,اليوان,الين,الوون,الدولار,1,15,عملة قوية في شرق آسيا.
16,ما هو اسم الملك الموكل بالوحي؟,إسرافيل,ميكائيل,جبريل,عزرائيل,2,16,نزل بالقرآن على قلب النبي محمد.
1602,ما هو الكوكب الذي يلقب بـ 'الكوكب الأحمر'؟,الزهرة,المريخ,عطارد,المشتري,1,16,بسبب كثرة أكسيد الحديد على سطحه.
1603,ما هي الدولة التي فازت بأول كأس عالم لكرة القدم عام 1930؟,البرازيل,الأرجنتين,الأوروغواي,إيطاليا,2,16,استضافت البطولة أيضاً.
1604,ما هي عاصمة جيبوتي؟,تاجورة,جيبوتي,أوبوك,علي صبيح,1,16,اسمها نفس اسم الدولة.
1605,من هو مكتشف البنسلين؟,لويس باستور,ألكسندر فلمنج,روبرت كوخ,جوزيف ليستر,1,16,أول مضاد حيوي في التاريخ.
1606,ما هي عاصمة جيبوتي؟,تاجورة,جيبوتي,أوبوك,علي صبيح,1,16,نفس اسم الدولة.
1607,ما هو أعمق خندق مائي في العالم؟,خندق ماريانا,خندق بورتوريكو,خندق جاوة,خندق تونغا,0,16,في المحيط الهادي.
1608,من هو أول إنسان صعد للفضاء؟,أرمسترونج,جاجارين,ألدرين,جلين,1,16,رائد سوفيتي.
1609,من هو الصحابي الذي لقب بـ 'باحث عن الحقيقة'؟,سلمان الفارسي,أبو ذر الغفاري,عمار بن ياسر,صهيب الرومي,0,16,تنقل بين الأديان حتى وصل للإسلام.
1610,ما هي السورة التي تسمى 'سورة النساء الصغرى'؟,الطلاق,التحريم,المجادلة,الممتحنة,0,16,تتناول أحكام الطلاق والعدة.
1611,كم عدد المرات التي ذكر فيها اسم 'محمد' في القرآن الكريم؟,3,4,5,6,1,16,ذكر في آل عمران والأحزاب ومحمد والفتح.
1612,ما هو أعمق مكان في المحيطات؟,خندق ماريانا,خندق بورتوريكو,خندق جاوة,خندق تونغا,0,16,يصل عمقه لأكثر من 11 كم.
1613,من هو أول من حصل على جائزة نوبل في الفيزياء؟,أينشتاين,رونتجن,ماري كوري,نيوتن,1,16,مكتشف الأشعة السينية (X-ray).
1614,ما هي أصغر دولة في العالم من حيث المساحة؟,موناكو,الفاتيكان,سان مارينو,المالديف,1,16,تقع داخل مدينة روما.
101,ما هو اسم خازن الجنة؟,مالك,رضوان,منكر,نكير,1,5,اسمه مشتق من الرضا.
